Profcoll_Fee,NTF,OSP ,DPD_Beginning,AMT_LLP_Beginning,AMT_LLP_Projection,Price_List,OS_LC
12000000,48022500,42497949,543,42497949,42497949,54653600,6970747.47
800000,5371428.57,1074737.56,658,1074737.56,1074737.56,6500000,14225
12245000,62859500,38160551.17,43,4006857.873,4006857.873,81000000,0
1500000,5864948.45,3042332.21,931,3042332.21,3042332.21,4000000,343590
1200000,8855102.04,1099023.97,341,1099023.97,1099023.97,7800000,0
1000000,8692708.33,1336435.25,690,1336435.25,1336435.25,5700000,1215205
1500000,4850000,4850000,849,4850000,4850000,5000000,0
800000,2696938.78,2518457.6,811,2518457.6,2518457.6,1700000,14450
1300000,7507216.49,1605584.18,785,1605584.18,1605584.18,7800000,938125
1000000,4862886.6,1681277.67,502,1681277.67,1681277.67,2600000,0
1200000,6019587.63,4735152.48,294,4735152.48,4735152.48,8000000,460600
1200000,10366666.67,7510216.56,1052,7510216.56,7510216.56,10300000,831197.5
1200000,3318556.7,2757716.4,51,289560.222,289560.222,3300000,225220
1500000,4866666.67,2528806.92,533,2528806.92,2528806.92,8300000,0
1200000,6546391.75,4512081.91,532,4512081.91,4512081.91,6000000,143080
12500000,59640750,62140181.22,455,62140181.22,62140181.22,54828481.99,2387072.52
1300000,7000000,1954394.39,754,1954394.39,1954394.39,4000000,0
1500000,6270408.16,5835881.9,931,5835881.9,5835881.9,7800000,62640
1500000,6270408.16,5835881.9,931,5835881.9,5835881.9,7800000,62640
1500000,7113402.06,3689023.4,378,3689023.4,3689023.4,7200000,1540960
900000,3917171.72,2086051.28,1279,2086051.28,2086051.28,5000000,384961.94
1500000,14340206.19,4015349.37,322,4015349.37,4015349.37,15700000,0
1400000,8572164.95,6710873.75,653,6710873.75,6710873.75,7500000,237960
1100000,3105102.04,1451386.16,1121,1451386.16,1451386.16,3200000,333230
14000000,180000000,151087122.3,142,52880492.82,75543561.17,153589200,4995196.54
1500000,8105154.64,5292082.58,160,2646041.29,5292082.58,7000000,2499220.12
1500000,8105154.64,5292082.58,160,2646041.29,5292082.58,7000000,2499220.12
1200000,6627551.02,1265899.61,425,1265899.61,1265899.61,8600000,1121902.17
1500000,9312500,2770888.76,775,2770888.76,2770888.76,6400000,1975615
1200000,8022680.41,1714476.71,387,1714476.71,1714476.71,8600000,0
20000000,105000000,98970317.29,376,98970317.29,98970317.29,97850000,0
1500000,5408163.27,3451249.07,44,362381.1524,362381.1524,5500000,88815
12500000,83719500,56982521.15,258,56982521.15,56982521.15,64000000,5652985.12
1300000,5520408.16,3490701.88,146,1221745.658,1745350.94,8300000,805530
1400000,9861406.42,9002465.22,166,4501232.61,9002465.22,9800000,208390
1200000,10486597.94,2210063.34,380,2210063.34,2210063.34,8300000,0
1500000,8105154.64,2291018.5,896,2291018.5,2291018.5,11400000,1186717.5
1500000,10228865.98,4029879.41,231,4029879.41,4029879.41,10500000,2526673.88
1400000,7741666.67,5248510.37,591,5248510.37,5248510.37,8000000,0
1500000,7689583.33,4059089.69,844,4059089.69,4059089.69,7000000,1508235
2000000,14422680.41,2108853.83,181,2108853.83,2108853.83,13200000,3444972.5
1300000,6154639.18,2714061.75,272,2714061.75,2714061.75,3200000,509059.89
12000000,87549987.52,50422749.48,212,50422749.48,50422749.48,79880051.84,3570464.23
5000000,40504000,4449097.53,236,4449097.53,4449097.53,70555000,92152.38
15000000,195500000,88877864.87,117,31107252.7,31107252.7,170000000,441929.95
1200000,8497959.18,1692904.47,1023,1692904.47,1692904.47,6500000,0
1500000,8497959.18,7925882.29,1231,7925882.29,7925882.29,6900000,0
1500000,9008163.27,8401592.77,1238,8401592.77,8401592.77,7500000,81805
1500000,8654639.18,7957338.29,1056,7957338.29,7957338.29,7500000,65722.5
1300000,7589690.72,3072231.26,53,322584.2823,322584.2823,8000000,710749.86
1200000,6780612.24,3719604.38,287,3719604.38,3719604.38,9600000,322945
1400000,6923469.39,3847043.57,341,3847043.57,3847043.57,5200000,0
1500000,8619791.67,1493541.66,204,1493541.66,1493541.66,7200000,0
1000000,14864285.71,1507786.1,82,158317.5405,527725.135,20000000,0
9183700,75000000,64542151.83,38,6776925.942,6776925.942,86500000,4255090
1100000,7533333.33,1305999.22,685,1305999.22,1305999.22,4500000,875122.5
8000000,97500000,57173990.32,304,57173990.32,57173990.32,92750000,0
1200000,4927551.02,3898986.26,91,1364645.191,1364645.191,4500000,0
11000000,58399793.75,31168694.14,87,3272712.885,10909042.95,54828481.99,0
1200000,4795876.29,1916978.29,507,1916978.29,1916978.29,4200000,635625
1500000,9989583.33,7505920.88,409,7505920.88,7505920.88,7800000,293075
1300000,8105154.64,5584934.92,712,5584934.92,5584934.92,8600000,724875
1100000,9572916.67,1658369.52,701,1658369.52,1658369.52,7200000,0
12000000,65513500,49243726.34,41,5170591.266,5170591.266,78856200,10728204.8
1200000,9140625,7489430.8,122,2621300.78,3744715.4,8300000,1293738.63
1500000,9525510.2,2785215.87,464,2785215.87,2785215.87,9800000,2898255
1500000,9552658.57,6854118.29,23,239894.1402,719682.4205,10000000,558720
1500000,7322241.04,5576948.69,120,1951932.042,1951932.042,7800000,80450
1500000,2661224.49,1279918.55,804,1279918.55,1279918.55,3200000,74332.5
1400000,7061855.67,3491101.83,252,3491101.83,3491101.83,5000000,214657.5
500000,7643298.97,5983897.71,137,2094364.199,2991948.855,7800000,0
1020500,9185567.01,6505895.55,455,6505895.55,6505895.55,9000000,0
1500000,10744329.9,4664046.85,272,4664046.85,4664046.85,7000000,1106817.76
1300000,7072916.67,5305946.43,775,5305946.43,5305946.43,8600000,667312.5
1300000,9185567.01,3457877.06,202,3457877.06,3457877.06,8000000,680634.97
1100000,5896938.78,3276852.55,942,3276852.55,3276852.55,7800000,533741.65
1200000,6923469.39,2532993.12,134,886547.592,1266496.56,6500000,866459.31
750000,6362244.9,1866452.57,61,195977.5199,653258.3995,8300000,576150
800000,2696938.78,1510159.26,638,1510159.26,1510159.26,4300000,175293.64
1500000,7951020.41,5665051.65,1082,5665051.65,5665051.65,7800000,923595
1000000,5473195.88,2011296.55,164,1005648.275,2011296.55,5000000,69729.22
